Date,GPR,Inflation_Pct,SP500_Return,Oil_Return,Oil_Price,GPR_12m_Avg,SP500_Index,Roll_Corr_GPR_CPI,Roll_Corr_GPR_SP500,Roll_Corr_GPR_Oil,GPR_Tier,Crisis_Label
1986-02-01,98.75003051757812,3.19849482596426,7.148927885973944,-32.58699926117936,15.454736842105262,,107.14892788597395,,,,Normal,
1986-03-01,98.67667388916016,2.1535580524344455,5.279391778691878,-18.390716523634374,12.6125,,112.80573957574254,,,,Normal,
1986-04-01,148.31385803222656,1.5887850467289688,-1.4148136083619978,1.8325975313091325,12.843636363636364,,111.20974862121153,,,,High,
1986-05-01,117.38924407958984,1.679104477611948,5.022928675463656,19.729480127271735,15.377619047619048,,116.79573497461742,,,,High,
1986-06-01,96.29425048828125,1.7674418604651132,1.4109521521153523,-12.693153314959904,13.425714285714285,,118.44366691082074,,,,Normal,
1986-07-01,94.70178985595703,1.671309192200554,-5.868283142882347,-13.713749540521182,11.584545454545456,,111.49305717168131,,,,Normal,
1986-08-01,103.34593963623047,1.575532900834098,7.119260505765657,30.31729838604198,15.096666666666666,,119.43053835757556,,,,High,
1986-09-01,117.1078872680664,1.757631822386685,-8.54386034765885,-1.5235151247516066,14.866666666666665,,109.22655994784716,,,,High,
1986-10-01,96.79243469238281,1.5668202764977046,5.47293273494327,0.2028128821850883,14.896818181818183,,115.20445610248531,,,,Normal,
1986-11-01,109.77281951904297,1.2844036697247763,2.147719315076868,2.180067995638235,15.22157894736842,,117.67872445802763,,,,High,
1986-12-01,89.75377655029297,1.187214611872145,-2.828827147590973,5.820947375527097,16.107619047619046,,114.34979675362015,,,,Normal,
1987-01-01,96.94281768798828,1.364877161055511,13.176689368870086,15.79258558505292,18.65142857142857,105.65346018473308,129.41731426577897,,,,Normal,
1987-02-01,100.683349609375,1.9143117593436676,3.6923621317010324,-4.83867066563467,17.748947368421053,105.81457010904948,134.19587016959312,,,,High,
1987-03-01,89.60771942138672,2.8414298808432603,2.638986515783981,3.120803521123783,18.302857142857142,105.05882390340169,137.73728108810766,,,,Normal,
1987-04-01,113.39408111572266,3.679852805887762,-1.1450211572491154,2.0449578520137512,18.677142857142858,102.14884249369304,136.16016007822913,,,,High,
1987-05-01,98.65091705322266,3.669724770642202,0.6034196283620119,4.0710570598133655,19.4375,100.58731524149577,136.9817772101503,,,,Normal,
1987-06-01,94.18240356445312,3.7477148080438782,4.791449018971927,3.27038877521193,20.07318181818182,100.41132799784343,143.54518923045637,,,,Normal,
1987-07-01,98.87196350097656,3.926940639269394,4.8223696256938675,6.321828329738111,21.342173913043478,100.75884246826172,150.46746883505065,,,,Normal,
1987-08-01,99.96844482421875,4.2883211678832245,3.4958840151999793,-4.831848603111865,20.310952380952383,100.47738456726074,155.72763702613122,,,,Normal,
1987-09-01,121.16707611083984,4.2727272727272725,-2.41661659057012,-3.844981595667385,19.529999999999998,100.81565030415852,151.9642971136549,,,,High,
1987-10-01,101.05858612060547,4.355716878402904,-21.763041421998008,1.6850532979565402,19.85909090909091,101.17116292317708,118.89224418616206,,,,High,
1987-11-01,96.15348815917969,4.528985507246386,-8.53488653536516,-5.061112382696276,18.854,100.03621864318848,108.74492604552385,,,,Normal,
1987-12-01,109.85638427734375,4.332129963898912,7.286147875354443,-8.377291532059738,17.274545454545457,101.71143595377605,116.66824216414555,,,,High,
1988-01-01,83.20153045654297,4.129263913824044,4.043227059709542,-0.8396484580570629,17.1295,100.56632868448894,121.38540410141374,,,,Normal,
1988-02-01,86.20614624023438,3.9355992844364973,4.181740262854561,-1.948601618761281,16.795714285714286,99.35989507039388,126.46142641795126,,,,Normal,
1988-03-01,110.20651245117188,3.832442067736186,-3.334326201018556,-3.5623550817089678,16.197391304347825,101.0764611562093,122.2447899427157,,,,High,
1988-04-01,119.45051574707031,3.9929015084294583,0.9424743272317793,10.280104149889958,17.8625,101.58116404215495,123.39691570430422,,,,High,
1988-05-01,104.87347412109375,3.9823008849557473,0.3176126477985486,-2.456899293848225,17.423636363636362,102.09971046447754,123.78883991557441,,,,High,
